SKU,Product,Category,Units_Sold_Last_Quarter,Unit_Price,Unit_Variable_Cost,Units_In_Stock,Returns_Last_Quarter
TS-101,Trail Daypack 22L,Packs,1840,79.00,41.50,320,46
TS-102,Summit Pack 45L,Packs,610,159.00,88.00,95,22
TS-110,Insulated Bottle 24oz,Drinkware,5200,24.00,7.80,1450,61
TS-111,Camp Mug 12oz,Drinkware,3100,14.00,6.20,880,18
TS-120,Merino Hiking Sock,Apparel,4400,18.00,9.10,2100,140
TS-121,Base Layer Top,Apparel,1250,64.00,33.00,410,88
TS-130,Down Sweater,Apparel,540,189.00,121.00,130,15
TS-140,Trekking Poles (pair),Gear,980,89.00,52.00,240,33
TS-141,Headlamp 400lm,Gear,2700,34.00,19.50,700,52
TS-150,Trail Snack Box 12pk,Consumables,6100,21.00,22.40,540,9
TS-151,Electrolyte Mix 30ct,Consumables,3800,29.00,12.75,920,27
TS-160,Gift Card $50,Other,900,50.00,1.50,0,0
